source_ip,destination_ip,source_port,destination_port,protocol,packet_size,inter_arrival_time,payload_size,flow_duration,total_packets,total_bytes,flow_direction,session_duration,session_count,mean_packet_size,variance_packet_size,entropy,usage_frequency,temporal_patterns,country,region,city
192.168.10.60,74.125.129.188,52727,5228,TCP,54,0.0,40,0.0,1,54,external,0.0,1,54.0,0.0,-0.0,0,2024-11-19 00:57:27,US,Ohio,Columbus
192.168.10.60,142.251.4.188,52726,5228,TCP,54,0.0,40,0.0,1,54,external,0.0,1,54.0,0.0,-0.0,0,2024-11-19 00:57:27,US,Ohio,Columbus
192.168.10.60,9.9.9.9,53425,443,TCP,248,0.0,234,0.0,1,248,external,0.0,1,248.0,0.0,-0.0,0,2024-11-19 00:57:28,CH,Zurich,Zürich
9.9.9.9,192.168.10.60,443,53425,TCP,202,0.0,188,0.0,1,202,external,0.0,1,202.0,0.0,-0.0,0,2024-11-19 00:57:28,Unknown,Unknown,Unknown
192.168.10.60,9.9.9.9,53425,443,TCP,66,0.29658031463623047,52,0.29658031463623047,2,314,external,0.29658031463623047,2,157.0,8281.0,1.0,6.743535903430047,2024-11-19 00:57:28,CH,Zurich,Zürich
192.168.10.60,34.117.59.81,53435,443,TCP,78,0.0,64,0.0,1,78,external,0.0,1,78.0,0.0,-0.0,0,2024-11-19 00:57:28,US,Missouri,Kansas City
74.125.129.188,192.168.10.60,5228,52727,TCP,66,0.0,52,0.0,1,66,external,0.0,1,66.0,0.0,-0.0,0,2024-11-19 00:57:28,Unknown,Unknown,Unknown
142.251.4.188,192.168.10.60,5228,52726,TCP,66,0.0,52,0.0,1,66,external,0.0,1,66.0,0.0,-0.0,0,2024-11-19 00:57:28,Unknown,Unknown,Unknown
34.117.59.81,192.168.10.60,443,53435,TCP,74,0.0,60,0.0,1,74,external,0.0,1,74.0,0.0,-0.0,0,2024-11-19 00:57:29,Unknown,Unknown,Unknown
192.168.10.60,34.117.59.81,53435,443,TCP,66,0.7010629177093506,52,0.7010629177093506,2,144,external,0.7010629177093506,2,72.0,36.0,1.0,2.8528109952453193,2024-11-19 00:57:29,US,Missouri,Kansas City
192.168.10.60,34.117.59.81,53435,443,TCP,275,0.14699912071228027,261,0.8480620384216309,3,419,external,0.8480620384216309,3,139.66666666666666,9181.555555555555,1.584962500721156,3.537477052484798,2024-11-19 00:57:29,US,Missouri,Kansas City
34.117.59.81,192.168.10.60,443,53435,TCP,66,0.42939186096191406,52,0.42939186096191406,2,140,external,0.42939186096191406,2,70.0,16.0,1.0,4.657750138811771,2024-11-19 00:57:29,Unknown,Unknown,Unknown
34.117.59.81,192.168.10.60,443,53435,TCP,1466,0.1348741054534912,1452,0.5642659664154053,3,1606,external,0.5642659664154053,3,535.3333333333334,433080.8888888888,1.584962500721156,5.316641758598354,2024-11-19 00:57:29,Unknown,Unknown,Unknown
34.117.59.81,192.168.10.60,443,53435,TCP,1466,0.1399548053741455,1452,0.7042207717895508,4,3072,external,0.7042207717895508,4,768.0,487212.0,1.5,5.68003694329448,2024-11-19 00:57:29,Unknown,Unknown,Unknown
192.168.10.60,34.117.59.81,53435,443,TCP,66,0.5569949150085449,52,1.4050569534301758,4,485,external,1.4050569534301758,4,121.25,7903.6875,1.5,2.8468596879541224,2024-11-19 00:57:29,US,Missouri,Kansas City
34.117.59.81,192.168.10.60,443,53435,TCP,450,0.28032708168029785,436,0.9845478534698486,5,3522,external,0.9845478534698486,5,704.4,405949.44000000006,1.9219280948873623,5.078473313794212,2024-11-19 00:57:29,Unknown,Unknown,Unknown
192.168.10.60,34.117.59.81,53435,443,TCP,66,0.27396416664123535,52,1.6790211200714111,5,551,external,1.6790211200714111,5,110.2,6811.360000000001,1.3709505944546687,2.9779256140550174,2024-11-19 00:57:30,US,Missouri,Kansas City
192.168.10.60,34.117.59.81,53435,443,TCP,151,0.13881492614746094,137,1.817836046218872,6,702,external,1.817836046218872,6,117.0,5907.333333333333,1.7924812503605778,3.300627695484472,2024-11-19 00:57:30,US,Missouri,Kansas City
34.117.59.81,192.168.10.60,443,53435,TCP,109,0.4249289035797119,95,1.4094767570495605,6,3631,external,1.4094767570495605,6,605.1666666666666,387527.47222222225,2.2516291673878226,4.256898859800797,2024-11-19 00:57:30,Unknown,Unknown,Unknown
192.168.10.60,34.117.59.81,53435,443,TCP,66,0.2856121063232422,52,2.1034481525421143,7,768,external,2.1034481525421143,7,109.71428571428571,5381.918367346939,1.6644977792004614,3.327869047563724,2024-11-19 00:57:30,US,Missouri,Kansas City
192.168.10.60,34.117.59.81,53435,443,TCP,246,0.14305996894836426,232,2.2465081214904785,8,1014,external,2.2465081214904785,8,126.75,6740.6875,2.0,3.561082162788837,2024-11-19 00:57:30,US,Missouri,Kansas City
34.117.59.81,192.168.10.60,443,53435,TCP,66,0.42594003677368164,52,1.8354167938232422,7,3697,external,1.8354167938232422,7,528.1428571428571,367762.40816326527,2.2359263506290326,3.8138476358924103,2024-11-19 00:57:30,Unknown,Unknown,Unknown
34.117.59.81,192.168.10.60,443,53435,TCP,954,0.13655424118041992,940,1.971971035003662,8,4651,external,1.971971035003662,8,581.375,341627.734375,2.5,4.056854719463535,2024-11-19 00:57:30,Unknown,Unknown,Unknown
192.168.10.60,34.117.59.81,53435,443,TCP,66,0.4270477294921875,52,2.673555850982666,9,1080,external,2.673555850982666,9,120.0,6356.222222222223,1.8799649487271108,3.366303343426339,2024-11-19 00:57:31,US,Missouri,Kansas City
