source_ip,destination_ip,source_port,destination_port,protocol,packet_size,inter_arrival_time,payload_size,flow_duration,total_packets,total_bytes,flow_direction,session_duration,session_count,mean_packet_size,variance_packet_size,entropy,usage_frequency,temporal_patterns,country,region,city
153.91.110.203,224.0.0.251,5353,5353,UDP,85,0.0,71,0.0,1,85,external,0.0,1,85.0,0.0,-0.0,0,2024-11-08 21:17:36,Unknown,Unknown,Unknown
153.91.104.131,224.0.0.251,5353,5353,UDP,507,0.0,493,0.0,1,507,external,0.0,1,507.0,0.0,-0.0,0,2024-11-08 21:17:37,Unknown,Unknown,Unknown
153.91.107.34,224.0.0.251,5353,5353,UDP,467,0.0,453,0.0,1,467,external,0.0,1,467.0,0.0,-0.0,0,2024-11-08 21:17:37,Unknown,Unknown,Unknown
153.91.111.62,224.0.0.251,5353,5353,UDP,428,0.0,414,0.0,1,428,external,0.0,1,428.0,0.0,-0.0,0,2024-11-08 21:17:37,Unknown,Unknown,Unknown
153.91.108.175,153.91.3.203,62153,53,UDP,69,0.0,55,0.0,1,69,external,0.0,1,69.0,0.0,-0.0,0,2024-11-08 21:17:37,US,Missouri,Warrensburg
153.91.3.203,153.91.108.175,53,62153,UDP,307,0.0,293,0.0,1,307,external,0.0,1,307.0,0.0,-0.0,0,2024-11-08 21:17:37,US,Missouri,Lee's Summit
153.91.108.175,34.117.59.81,50889,443,TCP,78,0.0,64,0.0,1,78,external,0.0,1,78.0,0.0,-0.0,0,2024-11-08 21:17:37,US,Missouri,Kansas City
34.117.59.81,153.91.108.175,443,50889,TCP,74,0.0,60,0.0,1,74,external,0.0,1,74.0,0.0,-0.0,0,2024-11-08 21:17:37,US,Missouri,Lee's Summit
153.91.108.175,34.117.59.81,50889,443,TCP,66,0.33628010749816895,52,0.33628010749816895,2,144,external,0.33628010749816895,2,72.0,36.0,1.0,5.947422863872166,2024-11-08 21:17:37,US,Missouri,Kansas City
153.91.108.175,34.117.59.81,50889,443,TCP,583,0.1153249740600586,569,0.45160508155822754,3,727,external,0.45160508155822754,3,242.33333333333334,58050.88888888888,1.584962500721156,6.642972195194832,2024-11-08 21:17:38,US,Missouri,Kansas City
34.117.59.81,153.91.108.175,443,50889,TCP,66,0.30391597747802734,52,0.30391597747802734,2,140,external,0.30391597747802734,2,70.0,16.0,1.0,6.580766225574951,2024-11-08 21:17:38,US,Missouri,Lee's Summit
