source_ip,destination_ip,source_port,destination_port,protocol,packet_size,inter_arrival_time,payload_size,flow_duration,total_packets,total_bytes,flow_direction,session_duration,session_count,mean_packet_size,variance_packet_size,entropy,access_patterns,usage_frequency,temporal_patterns,country,region,city,application_data,behavioral_pattern,network_context
192.168.1.2,224.0.0.251,5353,5353,UDP,76,0.0,62,0.0,1,76,outbound,0.0,1,76.0,0.0,-0.0,192.168.1.2->224.0.0.251:5353,0,2024-08-27 23:36:42,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.2,224.0.0.251,5353,5353,UDP,75,0.4117119312286377,61,0.4117119312286377,2,151,outbound,0.4117119312286377,2,75.5,0.25,1.0,192.168.1.2->224.0.0.251:5353,4.857765462447412,2024-08-27 23:36:42,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,61453,443,TCP,78,0.0,64,0.0,1,78,outbound,0.0,1,78.0,0.0,-0.0,192.168.1.239->34.117.59.81:443,0,2024-08-27 23:36:43,US,Missouri,Kansas City,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,61453,TCP,74,0.0,60,0.0,1,74,inbound,0.0,1,74.0,0.0,-0.0,34.117.59.81->192.168.1.239:61453,0,2024-08-27 23:36:43,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,61453,443,TCP,66,0.44089388847351074,52,0.44089388847351074,2,144,outbound,0.44089388847351074,2,72.0,36.0,1.0,192.168.1.239->34.117.59.81:443,4.5362388826130475,2024-08-27 23:36:43,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,61453,443,TCP,583,0.1845378875732422,569,0.6254317760467529,3,727,outbound,0.6254317760467529,3,242.33333333333334,58050.88888888888,1.584962500721156,192.168.1.239->34.117.59.81:443,4.796686249238064,2024-08-27 23:36:43,US,Missouri,Kansas City,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,61453,TCP,66,0.5140149593353271,52,0.5140149593353271,2,140,inbound,0.5140149593353271,2,70.0,16.0,1.0,34.117.59.81->192.168.1.239:61453,3.8909373427306484,2024-08-27 23:36:43,Unknown,Unknown,Unknown,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,61453,TCP,1466,0.21889805793762207,1452,0.7329130172729492,3,1606,inbound,0.7329130172729492,3,535.3333333333334,433080.8888888888,1.584962500721156,34.117.59.81->192.168.1.239:61453,4.09325517393935,2024-08-27 23:36:44,Unknown,Unknown,Unknown,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,61453,TCP,714,0.233320951461792,700,0.9662339687347412,4,2320,inbound,0.9662339687347412,4,580.0,330796.0,2.0,34.117.59.81->192.168.1.239:61453,4.1397840786304565,2024-08-27 23:36:44,Unknown,Unknown,Unknown,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,61453,TCP,1270,0.2271740436553955,1256,1.1934080123901367,5,3590,inbound,1.1934080123901367,5,718.0,340812.8,2.321928094887362,34.117.59.81->192.168.1.239:61453,4.189681942880614,2024-08-27 23:36:44,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,61453,443,TCP,66,1.0859942436218262,52,1.711426019668579,4,793,outbound,1.711426019668579,4,198.25,49368.1875,1.5,192.168.1.239->34.117.59.81:443,2.337232199364719,2024-08-27 23:36:44,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,61453,443,TCP,146,0.1697099208831787,132,1.8811359405517578,5,939,outbound,1.8811359405517578,5,187.8,39931.35999999999,1.9219280948873623,192.168.1.239->34.117.59.81:443,2.657968460553385,2024-08-27 23:36:45,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,61453,443,TCP,244,0.15255999565124512,230,2.033695936203003,6,1183,outbound,2.033695936203003,6,197.16666666666666,33714.80555555556,2.2516291673878226,192.168.1.239->34.117.59.81:443,2.9502935484063837,2024-08-27 23:36:45,US,Missouri,Kansas City,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,61453,TCP,66,0.7715649604797363,52,1.964972972869873,6,3656,inbound,1.964972972869873,6,609.3333333333334,343052.8888888888,2.2516291673878226,34.117.59.81->192.168.1.239:61453,3.0534771128362688,2024-08-27 23:36:45,Unknown,Unknown,Unknown,Unknown,Normal,Normal
